,date,time,hand,Name,t_Ante/Bet,t_Winnings,t_Profit,Game,h_t_Ante/Bet,h_t_Winnings,h_t_Profit,Nightly_Winnings
86,2020-06-04,2020-06-05 21:04:22.792923,7,Bartman,45,0,-45,4,45.0,0.0,-45.0,-45.0
28,2020-06-04,2020-06-05 21:16:08.417787,11,Bartman,125,140,15,4,80.0,140.0,60.0,15.0
38,2020-06-04,2020-06-05 21:27:26.982762,13,Bartman,210,140,-70,4,85.0,0.0,-85.0,-70.0
45,2020-06-04,2020-06-05 21:42:14.327715,15,Bartman,285,140,-145,4,75.0,0.0,-75.0,-145.0
52,2020-06-04,2020-06-05 21:56:37.038847,17,Bartman,295,140,-155,4,10.0,0.0,-10.0,-155.0
59,2020-06-04,2020-06-05 22:10:12.401251,20,Bartman,360,205,-155,4,65.0,65.0,0.0,-155.0
62,2020-06-04,2020-06-05 22:25:13.034338,22,Bartman,435,390,-45,4,75.0,185.0,110.0,-45.0
70,2020-06-04,2020-06-05 22:36:00.677854,24,Bartman,520,540,20,4,85.0,150.0,65.0,20.0
77,2020-06-04,2020-06-05 22:48:22.395124,26,Bartman,530,540,10,4,10.0,0.0,-10.0,10.0
89,2020-06-04,2020-06-05 23:04:05.161376,2,Bartman,90,95,5,5,90.0,95.0,5.0,15.0
100,2020-06-04,2020-06-05 23:14:10.351084,4,Bartman,155,95,-60,5,65.0,0.0,-65.0,-50.0
18,2020-06-04,2020-06-05 20:16:20.532603,7,Bornstein,25,0,-25,2,25.0,0.0,-25.0,-25.0
24,2020-06-04,2020-06-05 20:25:38.518812,9,Bornstein,55,0,-55,2,30.0,0.0,-30.0,-55.0
4,2020-06-04,2020-06-05 20:33:27.383168,12,Bornstein,70,0,-70,2,15.0,0.0,-15.0,-70.0
9,2020-06-04,2020-06-05 20:40:05.925271,14,Bornstein,80,0,-80,2,10.0,0.0,-10.0,-80.0
14,2020-06-04,2020-06-05 20:51:23.577549,16,Bornstein,90,0,-90,2,10.0,0.0,-10.0,-90.0
